id,age,job,marital,education,default,amount,housing
3834,40,blue-collar,married,primary,no,540,yes
3835,50,entrepreneur,married,tertiary,no,52,no
3836,39,technician,married,secondary,no,-72,yes
3837,27,blue-collar,single,secondary,no,4,yes
3838,44,management,married,secondary,no,576,yes
3839,33,blue-collar,married,secondary,no,681,yes
3840,29,management,single,secondary,no,-105,yes
3841,31,technician,married,secondary,no,6890,yes
3842,60,management,married,tertiary,no,3387,no
3843,54,retired,single,primary,no,767,no
3844,31,technician,single,tertiary,no,424,no
3845,49,technician,married,primary,no,486,no
3846,40,housemaid,married,secondary,no,2064,no
3847,52,management,married,tertiary,no,-542,no
3848,33,housemaid,married,primary,no,212,yes
3849,27,housemaid,married,secondary,yes,65,yes
3850,49,retired,married,primary,no,2665,yes
3851,43,entrepreneur,married,secondary,no,0,no
3852,45,services,married,secondary,no,-839,yes
3853,35,admin.,married,secondary,no,0,yes
3854,26,blue-collar,single,primary,no,1538,no
3855,53,services,divorced,secondary,no,0,no
3856,53,retired,married,secondary,no,449,no
3857,53,technician,married,tertiary,no,9001,no
3858,45,management,married,tertiary,no,242,no
3859,39,blue-collar,married,primary,no,449,yes
3860,51,blue-collar,married,primary,no,-11,no
3861,35,technician,single,secondary,no,1855,yes
3862,53,services,married,secondary,no,1,no
3863,30,technician,married,tertiary,no,910,no
3864,34,blue-collar,married,secondary,no,763,yes
3865,25,management,single,tertiary,no,1259,no
3866,54,management,married,tertiary,no,0,no
3867,26,admin.,married,tertiary,no,319,no
3868,52,blue-collar,married,secondary,no,7225,no
3869,37,blue-collar,divorced,secondary,yes,-689,no
3870,47,technician,married,tertiary,no,4568,no
3871,29,blue-collar,single,secondary,no,445,yes
3872,53,technician,divorced,secondary,no,751,yes
3873,38,blue-collar,married,unknown,no,976,yes
3874,32,management,married,tertiary,no,3442,no
3875,46,entrepreneur,married,primary,no,0,no
3876,43,technician,divorced,secondary,no,1413,yes
3877,24,management,single,tertiary,no,0,no
3878,29,admin.,single,secondary,no,454,no
3879,58,admin.,married,secondary,no,1813,yes
3880,34,unemployed,married,tertiary,no,181,yes
3881,44,blue-collar,married,secondary,no,-54,yes
3882,31,blue-collar,married,primary,no,54,yes
3883,58,retired,divorced,primary,no,720,no
3884,47,blue-collar,married,primary,no,124,no
3885,32,housemaid,married,primary,no,7,no
3886,50,services,married,secondary,no,1463,yes
3887,30,management,married,tertiary,no,4948,no
3888,37,services,single,secondary,no,54,yes
3889,45,services,single,primary,no,1893,yes
3890,36,admin.,married,secondary,no,1954,yes
3891,38,admin.,single,secondary,no,569,yes
3892,41,technician,single,tertiary,no,445,yes
3893,50,housemaid,married,secondary,no,34,yes
3894,50,management,married,tertiary,no,3191,no
3895,46,services,married,primary,no,13118,no
3896,38,management,married,tertiary,no,449,no
3897,50,management,married,tertiary,no,453,no
3898,32,technician,single,secondary,no,-420,no
3899,46,management,married,tertiary,no,197,no
3900,32,blue-collar,married,primary,no,902,yes
3901,40,technician,divorced,tertiary,no,1082,no
3902,26,technician,single,tertiary,no,291,no
3903,33,unemployed,married,tertiary,no,3335,no
3904,62,retired,married,secondary,no,569,no
3905,37,blue-collar,single,secondary,no,48,no
3906,44,technician,married,secondary,no,1879,yes
3907,52,management,married,tertiary,no,1111,no
3908,29,management,married,tertiary,no,204,yes
3909,31,unemployed,single,primary,no,163,no
3910,34,blue-collar,single,secondary,no,0,yes
3911,45,services,married,secondary,no,972,yes
3912,51,technician,married,secondary,no,19,no
3913,45,blue-collar,married,unknown,no,5640,yes
3914,65,retired,married,secondary,no,2,no
3915,45,admin.,married,secondary,no,935,yes
3916,32,admin.,married,secondary,no,1078,yes
3917,35,admin.,married,tertiary,no,221,yes
3918,32,management,single,tertiary,no,1613,no
3919,29,admin.,married,secondary,no,0,yes
3920,57,management,married,tertiary,no,29,no
3921,41,management,divorced,tertiary,no,1064,no
3922,55,management,married,unknown,no,559,no
3923,26,admin.,single,secondary,no,-14,no
3924,45,technician,single,secondary,no,52,no
3925,53,housemaid,married,primary,no,2581,no
3926,44,blue-collar,married,secondary,no,794,yes
3927,34,services,married,secondary,no,-508,yes
3928,41,unemployed,married,primary,no,183,yes
3929,47,admin.,married,tertiary,no,1979,no
3930,32,management,married,tertiary,no,958,yes
3931,43,admin.,married,secondary,no,388,yes
3932,57,blue-collar,married,secondary,no,0,no
3933,40,technician,married,secondary,no,-496,no
3934,47,services,married,secondary,no,0,yes
3935,33,admin.,married,secondary,no,394,yes
3936,28,admin.,single,primary,no,25,yes
3937,41,services,married,secondary,no,115,yes
3938,32,blue-collar,single,secondary,no,259,yes
3939,55,technician,married,secondary,no,303,no
3940,28,technician,married,tertiary,no,739,yes
3941,54,entrepreneur,married,secondary,yes,401,yes
3942,47,admin.,married,secondary,no,310,yes
3943,37,self-employed,married,secondary,no,215,yes
3944,30,technician,married,secondary,no,42,no
3945,45,blue-collar,married,primary,no,1951,no
3946,48,management,divorced,tertiary,no,757,yes
3947,33,admin.,divorced,secondary,no,661,yes
3948,32,blue-collar,married,secondary,no,491,yes
3949,35,services,married,secondary,no,74,yes
3950,30,blue-collar,single,secondary,no,959,yes
3951,59,unemployed,divorced,secondary,no,7469,no
3952,57,blue-collar,married,unknown,no,1463,no
3953,33,blue-collar,single,secondary,no,185,yes
3954,33,blue-collar,single,secondary,no,307,yes
3955,50,management,married,tertiary,no,19447,yes
3956,56,services,divorced,secondary,no,935,no
3957,28,blue-collar,single,secondary,no,61,yes
3958,37,services,married,secondary,no,343,yes
3959,33,services,married,secondary,no,-384,yes
3960,45,blue-collar,married,primary,no,85,yes
3961,38,management,married,secondary,no,794,yes
3962,43,housemaid,married,primary,no,685,no
3963,42,blue-collar,married,secondary,no,3068,yes
3964,29,blue-collar,single,secondary,no,16,no
3965,35,blue-collar,married,secondary,no,876,yes
3966,59,housemaid,married,primary,no,495,no
3967,45,technician,single,secondary,no,792,no
3968,28,blue-collar,married,primary,no,-469,yes
3969,54,management,married,secondary,no,282,yes
3970,28,admin.,single,secondary,no,-126,no
3971,46,services,married,secondary,no,198,no
3972,37,blue-collar,single,secondary,no,3764,no
3973,22,student,single,unknown,no,1215,no
3974,43,unemployed,married,primary,no,-178,yes
3975,37,management,married,tertiary,no,975,yes
3976,38,blue-collar,married,primary,no,447,yes
3977,38,services,married,secondary,no,3165,yes
3978,55,unemployed,married,primary,no,1221,no
3979,36,self-employed,single,tertiary,no,1240,no
3980,31,admin.,single,secondary,no,150,yes
3981,41,technician,married,secondary,no,1788,no
3982,57,management,divorced,unknown,no,0,no
3983,33,technician,married,secondary,no,0,no
3984,57,retired,married,primary,no,13,yes
3985,38,technician,married,secondary,no,284,yes
3986,55,blue-collar,married,secondary,no,831,yes
3987,53,blue-collar,married,secondary,no,913,yes
3988,26,blue-collar,single,secondary,no,7475,yes
3989,53,entrepreneur,married,tertiary,no,2289,yes
3990,51,entrepreneur,divorced,unknown,no,-57,yes
3991,48,blue-collar,married,secondary,no,1039,yes
3992,30,entrepreneur,married,primary,no,386,yes
3993,54,technician,married,secondary,no,415,yes
3994,53,unemployed,married,primary,no,980,yes
3995,42,technician,married,secondary,no,4466,no
3996,48,self-employed,married,secondary,no,1559,no
3997,51,technician,married,secondary,no,1446,yes
3998,31,management,single,tertiary,no,83,no
3999,49,entrepreneur,divorced,secondary,no,159,yes
4000,50,admin.,married,secondary,no,697,no
4001,47,management,married,tertiary,no,60,no
4002,48,services,divorced,secondary,no,3186,no
4003,34,technician,married,secondary,no,550,no
4004,43,blue-collar,single,secondary,no,276,yes
4005,33,services,single,secondary,no,91,no
4006,33,admin.,single,tertiary,no,193,no
4007,54,blue-collar,married,primary,no,781,yes
4008,25,technician,married,secondary,no,-559,yes
4009,44,blue-collar,single,secondary,no,0,no
4010,40,technician,married,secondary,no,296,no
4011,23,management,single,unknown,no,375,yes
4012,34,blue-collar,single,secondary,no,0,yes
4013,52,blue-collar,married,primary,no,2144,yes
4014,36,services,divorced,secondary,no,-194,no
4015,35,admin.,married,secondary,no,404,yes
4016,36,self-employed,married,tertiary,no,15,yes
4017,28,student,married,tertiary,no,327,yes
4018,36,admin.,single,secondary,no,11174,yes
4019,30,management,single,tertiary,no,2419,no
4020,44,blue-collar,single,secondary,no,-215,yes
4021,53,blue-collar,married,primary,no,241,yes
4022,35,blue-collar,married,secondary,no,260,yes
4023,32,blue-collar,married,secondary,no,1787,yes
4024,36,blue-collar,married,unknown,no,-417,yes
4025,35,self-employed,married,secondary,no,524,yes
4026,45,services,married,secondary,no,22,yes
4027,37,management,married,secondary,no,676,no
4028,50,entrepreneur,married,tertiary,no,5420,yes
4029,48,technician,married,tertiary,no,310,no
4030,44,services,married,secondary,no,-627,yes
4031,32,admin.,married,secondary,no,193,yes
4032,25,blue-collar,single,primary,no,2483,no
4033,34,admin.,single,secondary,no,280,no
4034,35,blue-collar,married,primary,no,2878,yes
4035,40,entrepreneur,married,primary,no,4674,no
4036,59,blue-collar,married,secondary,no,2605,no
4037,46,housemaid,single,tertiary,no,3232,no
4038,38,technician,married,secondary,no,581,yes
4039,40,services,married,secondary,no,664,yes
4040,50,management,married,tertiary,no,4,yes
4041,62,retired,married,tertiary,no,2557,yes
4042,33,technician,single,secondary,no,80,no
4043,33,management,married,tertiary,no,3363,yes
4044,35,services,single,secondary,no,49,no
4045,41,management,divorced,tertiary,no,3426,no
4046,36,services,married,secondary,no,4721,no
4047,31,services,married,secondary,no,428,yes
4048,42,services,married,unknown,no,-416,no
4049,37,services,divorced,secondary,no,9,yes
4050,55,management,divorced,tertiary,no,29484,no
4051,45,self-employed,married,unknown,no,-257,no
4052,58,retired,divorced,unknown,no,5920,yes
4053,53,management,married,primary,no,-421,yes
4054,46,admin.,married,primary,no,-335,yes
4055,21,management,single,tertiary,no,243,no
4056,74,retired,married,secondary,no,935,no
4057,56,blue-collar,single,primary,no,39,yes
4058,38,blue-collar,single,secondary,no,4860,yes
4059,60,retired,married,primary,no,1664,yes
4060,46,blue-collar,divorced,secondary,no,2441,no
4061,40,technician,married,primary,no,284,yes
4062,56,entrepreneur,single,unknown,no,2351,no
4063,33,services,married,secondary,no,0,no
4064,35,technician,single,secondary,no,23,yes
4065,30,technician,married,secondary,no,1099,yes
4066,53,blue-collar,married,primary,no,901,no
4067,51,entrepreneur,married,tertiary,no,3188,yes
4068,35,unemployed,single,secondary,no,221,no
4069,44,blue-collar,married,primary,no,1432,yes
4070,34,admin.,divorced,secondary,no,0,yes
4071,29,management,single,tertiary,no,1026,no
4072,56,retired,married,secondary,no,1894,yes
4073,32,management,single,tertiary,no,1882,no
4074,58,management,married,tertiary,no,299,no
4075,31,management,single,tertiary,no,0,no
4076,32,admin.,married,secondary,no,2711,no
4077,49,unknown,married,tertiary,no,325,no
4078,44,services,single,secondary,no,5045,yes
4079,41,management,married,primary,no,102,yes
4080,34,blue-collar,married,primary,no,218,yes
4081,38,admin.,married,secondary,no,1,yes
4082,34,technician,married,secondary,no,-255,yes
4083,45,services,married,secondary,no,0,no
4084,45,services,married,secondary,no,-1036,yes
4085,56,management,divorced,tertiary,no,55,no
4086,26,blue-collar,married,secondary,no,2005,yes
4087,41,blue-collar,married,secondary,yes,-651,yes
4088,39,admin.,married,secondary,no,7711,yes
4089,28,admin.,married,secondary,no,170,yes
4090,38,blue-collar,married,secondary,no,0,yes
4091,54,blue-collar,married,primary,no,0,yes
4092,43,unemployed,married,secondary,no,0,yes
4093,44,technician,married,secondary,no,2316,yes
4094,49,technician,married,tertiary,no,0,yes
4095,35,services,married,secondary,no,372,yes
4096,31,management,married,tertiary,no,1331,no
4097,28,technician,single,secondary,no,289,yes
4098,42,self-employed,married,tertiary,no,10072,no
4099,27,services,single,secondary,no,339,no
4100,51,management,married,primary,no,192,no
4101,39,blue-collar,married,primary,no,70,no
4102,43,management,married,tertiary,no,0,yes
4103,41,technician,married,secondary,no,1822,no
4104,30,student,single,unknown,no,4468,no
4105,59,blue-collar,married,secondary,no,0,yes
4106,37,blue-collar,married,primary,no,587,no
4107,36,technician,married,tertiary,no,530,yes
4108,27,management,single,tertiary,no,1137,yes
4109,33,blue-collar,married,secondary,no,315,no
4110,48,services,single,secondary,no,561,yes
4111,34,technician,married,secondary,no,650,yes
4112,34,admin.,single,secondary,no,598,yes
4113,31,blue-collar,married,unknown,no,-120,yes
4114,30,blue-collar,married,secondary,no,-2,yes
4115,39,management,married,tertiary,no,763,yes
4116,57,technician,divorced,secondary,no,449,no
4117,59,technician,married,secondary,no,0,yes
4118,40,services,divorced,secondary,no,160,no
4119,35,management,married,tertiary,no,495,no
4120,41,management,married,secondary,no,0,no
4121,34,technician,single,tertiary,no,2283,no
4122,34,management,single,tertiary,no,11350,yes
4123,34,services,married,secondary,no,798,yes
4124,30,technician,married,secondary,no,-280,yes
4125,57,services,single,secondary,no,1430,yes
4126,32,blue-collar,single,secondary,no,70,yes
4127,28,services,single,secondary,no,-221,no
4128,36,management,married,tertiary,no,449,no
4129,31,technician,single,tertiary,no,56,no
4130,38,blue-collar,divorced,secondary,no,595,yes
4131,59,management,divorced,tertiary,no,3096,no
4132,34,blue-collar,married,primary,no,425,yes
4133,39,entrepreneur,married,primary,no,13930,yes
4134,43,blue-collar,married,secondary,no,664,yes
4135,54,admin.,married,unknown,no,907,yes
4136,30,technician,married,tertiary,no,1045,no
4137,33,services,single,secondary,no,772,yes
4138,24,blue-collar,single,secondary,no,1857,yes
4139,47,technician,married,secondary,no,147,no
4140,31,management,married,tertiary,no,10088,no
4141,35,management,single,tertiary,no,550,yes
4142,34,management,single,tertiary,no,5945,yes
4143,40,management,married,tertiary,no,1777,yes
4144,44,management,married,secondary,no,2897,no
4145,28,blue-collar,single,primary,no,2340,yes
4146,57,management,divorced,tertiary,no,1016,yes
4147,35,blue-collar,married,primary,no,234,no
4148,33,blue-collar,married,primary,no,359,yes
4149,31,admin.,single,tertiary,no,0,yes
4150,59,management,married,tertiary,no,553,yes
4151,40,blue-collar,married,primary,no,449,yes
4152,27,blue-collar,single,secondary,no,2752,yes
4153,42,entrepreneur,married,tertiary,no,233,no
4154,31,management,single,tertiary,no,938,no
4155,31,self-employed,single,secondary,no,203,no
4156,32,management,single,tertiary,no,499,yes
4157,19,student,single,unknown,no,60,no
4158,36,self-employed,single,tertiary,no,577,yes
4159,41,admin.,divorced,secondary,no,6046,yes
4160,50,blue-collar,divorced,primary,no,134,no
4161,45,housemaid,married,primary,no,3512,no
4162,33,technician,married,secondary,no,2,no
4163,28,technician,married,secondary,no,930,yes
4164,59,housemaid,married,primary,no,1100,no
4165,43,management,married,tertiary,no,62,yes
4166,44,admin.,divorced,primary,no,429,yes
4167,32,technician,divorced,tertiary,no,0,yes
4168,43,technician,single,secondary,no,214,yes
4169,62,management,married,tertiary,no,0,no
4170,29,blue-collar,single,primary,no,80,yes
4171,43,blue-collar,divorced,secondary,no,-91,yes
4172,32,blue-collar,married,primary,no,1138,yes
4173,58,retired,married,secondary,no,8332,no
4174,36,admin.,single,secondary,no,10041,yes
4175,42,management,divorced,tertiary,no,624,no
4176,46,entrepreneur,married,secondary,no,583,yes
4177,49,technician,married,secondary,no,133,no
4178,37,services,single,secondary,no,244,no
4179,52,blue-collar,divorced,primary,no,1250,no
4180,36,management,single,tertiary,no,-155,yes
4181,51,technician,married,secondary,no,117,no
4182,48,services,divorced,primary,no,-110,no
4183,55,unknown,married,secondary,no,1157,no
4184,51,management,married,tertiary,no,91,yes
4185,34,blue-collar,married,secondary,no,29,yes
4186,40,technician,married,secondary,no,504,yes
4187,31,unemployed,married,primary,no,213,yes
4188,40,management,married,tertiary,no,1734,yes
4189,36,management,married,tertiary,no,105,no
4190,40,admin.,married,secondary,no,2574,yes
4191,51,management,married,tertiary,no,346,no
4192,42,unemployed,married,secondary,no,8131,yes
4193,42,blue-collar,married,secondary,no,1958,yes
4194,28,student,single,tertiary,no,290,yes
4195,72,self-employed,married,tertiary,no,132,no
4196,41,management,married,tertiary,no,771,yes
4197,28,services,single,secondary,no,1059,no
4198,50,management,married,tertiary,no,449,yes
4199,39,management,single,tertiary,no,26,yes
4200,38,technician,single,secondary,no,1211,yes
4201,42,technician,single,secondary,no,823,yes
4202,34,management,married,tertiary,no,926,no
4203,71,retired,married,primary,no,2600,no
4204,51,management,married,tertiary,no,15904,no
4205,37,technician,married,tertiary,no,1561,no
4206,33,management,married,tertiary,no,1195,yes
4207,50,blue-collar,divorced,primary,no,-19,yes
4208,43,technician,married,tertiary,no,4333,yes
4209,30,technician,single,secondary,no,0,yes
4210,35,services,divorced,secondary,no,-504,no
4211,43,services,divorced,secondary,no,130,yes
4212,33,entrepreneur,married,secondary,no,2,yes
4213,34,admin.,married,secondary,no,869,no
4214,51,technician,married,tertiary,no,1057,no
4215,54,services,divorced,secondary,no,0,no
4216,46,blue-collar,married,primary,no,2118,no
4217,33,blue-collar,single,primary,no,1390,yes
4218,77,retired,married,primary,no,1385,no
4219,41,admin.,single,unknown,no,419,yes
4220,35,admin.,single,secondary,no,111,yes
4221,45,blue-collar,married,primary,no,751,no
4222,55,services,divorced,secondary,no,1735,no
4223,52,services,married,secondary,no,659,no
4224,39,entrepreneur,married,secondary,no,0,no
4225,46,unknown,married,secondary,no,1482,no
4226,34,management,single,secondary,no,66,yes
4227,37,self-employed,single,tertiary,no,3759,no
4228,54,technician,married,secondary,no,965,no
4229,34,management,married,tertiary,no,250,no
4230,39,housemaid,married,unknown,no,0,no
4231,37,technician,single,tertiary,no,3315,yes
4232,37,blue-collar,married,secondary,no,1818,yes
4233,31,technician,married,secondary,no,0,no
4234,49,self-employed,divorced,secondary,no,6116,yes
4235,32,admin.,married,tertiary,no,233,yes
4236,44,management,single,primary,no,4,no
4237,35,technician,married,secondary,no,118,yes
4238,57,management,married,tertiary,no,1410,yes
4239,42,housemaid,married,primary,no,128,no
4240,38,technician,single,tertiary,no,0,no
4241,30,management,single,secondary,no,46,no
4242,44,admin.,single,secondary,no,11,yes
4243,33,services,married,secondary,no,0,yes
4244,37,management,married,tertiary,no,3794,no
4245,31,technician,single,tertiary,no,3729,yes
4246,38,management,married,secondary,no,517,yes
4247,26,management,single,tertiary,no,-3,no
4248,43,technician,married,secondary,no,17,yes
4249,41,blue-collar,married,primary,no,1256,no
4250,47,housemaid,married,tertiary,no,228,yes
4251,55,technician,married,secondary,no,1004,yes
4252,46,blue-collar,married,secondary,no,51,yes
4253,66,retired,married,secondary,no,203,no
4254,33,technician,married,secondary,no,256,yes
4255,37,technician,married,secondary,no,720,yes
4256,34,blue-collar,single,secondary,no,558,yes
4257,44,technician,single,secondary,no,59,yes
4258,30,self-employed,single,secondary,no,5223,no
4259,36,technician,married,tertiary,no,99,yes
4260,36,management,single,tertiary,no,553,no
4261,37,technician,married,tertiary,no,2043,no
4262,37,admin.,married,secondary,no,581,yes
4263,34,management,married,tertiary,no,519,no
4264,56,technician,married,primary,no,1232,no
4265,40,management,married,tertiary,no,409,no
4266,49,management,married,tertiary,no,68,yes
4267,40,blue-collar,married,primary,no,32,yes
4268,41,management,married,unknown,no,2457,yes
4269,42,housemaid,married,unknown,no,302,yes
4270,36,blue-collar,single,secondary,no,5396,yes
4271,51,technician,married,secondary,no,1327,no
4272,41,blue-collar,married,primary,no,381,no
4273,56,blue-collar,married,secondary,no,1521,yes
4274,31,self-employed,married,tertiary,yes,147,yes
4275,47,blue-collar,married,secondary,no,2173,yes
4276,35,services,married,tertiary,no,4564,no
4277,43,admin.,married,secondary,no,9173,no
4278,19,student,single,secondary,no,302,no
4279,42,blue-collar,married,primary,no,159,yes
4280,39,technician,married,secondary,no,508,yes
4281,54,services,married,secondary,no,0,no
4282,53,management,married,tertiary,no,952,yes
4283,36,student,single,secondary,no,904,no
4284,24,blue-collar,married,primary,no,656,yes
4285,37,technician,married,secondary,no,5902,yes
4286,43,management,married,tertiary,no,4016,yes
4287,52,admin.,divorced,secondary,no,1426,no
4288,58,technician,married,secondary,no,8153,yes
4289,40,services,married,secondary,no,-212,yes
4290,56,retired,married,secondary,no,289,no
4291,36,entrepreneur,divorced,tertiary,no,219,no
4292,31,management,single,tertiary,no,775,yes
4293,39,self-employed,married,secondary,no,31,yes
4294,49,blue-collar,married,primary,no,201,yes
4295,30,technician,single,secondary,no,0,no
4296,50,blue-collar,married,primary,no,888,no
4297,32,blue-collar,single,primary,no,121,yes
4298,32,student,married,secondary,no,1694,yes
4299,46,housemaid,married,primary,no,19,yes
4300,56,admin.,single,secondary,no,1854,yes
4301,60,admin.,married,tertiary,no,1614,no
4302,30,technician,single,secondary,no,19,yes
4303,43,admin.,married,secondary,no,2271,no
4304,34,technician,single,tertiary,no,2481,no
4305,45,self-employed,married,tertiary,no,582,no
4306,20,student,single,unknown,no,167,no
4307,61,retired,married,secondary,no,76,yes
4308,51,admin.,married,secondary,no,0,no
4309,33,management,single,tertiary,no,1304,yes
4310,39,technician,single,tertiary,no,25,yes
4311,46,blue-collar,married,primary,no,57,yes
4312,29,management,single,tertiary,no,1445,no
4313,50,blue-collar,married,primary,no,9301,yes
4314,38,technician,married,secondary,no,79,yes
4315,57,blue-collar,married,primary,no,696,yes
4316,35,technician,married,tertiary,no,6,yes
4317,33,management,married,tertiary,no,862,yes
4318,40,student,married,secondary,no,260,no
4319,24,admin.,single,secondary,no,290,yes
4320,50,management,married,tertiary,no,0,no
4321,53,blue-collar,married,unknown,no,1230,no
4322,27,self-employed,single,tertiary,no,347,no
4323,29,student,single,secondary,no,314,no
4324,33,blue-collar,married,secondary,no,1138,yes
4325,31,blue-collar,single,secondary,no,196,yes
4326,45,technician,married,secondary,no,366,no
4327,37,blue-collar,single,secondary,no,1184,yes
4328,61,housemaid,single,unknown,no,893,no
4329,28,management,single,tertiary,no,725,no
4330,29,technician,single,tertiary,no,673,yes
4331,37,entrepreneur,married,tertiary,no,342,yes
4332,52,technician,married,secondary,no,1064,no
4333,27,blue-collar,married,secondary,no,411,yes
4334,34,technician,married,secondary,no,298,no
4335,59,management,divorced,tertiary,no,893,yes
4336,50,management,divorced,tertiary,no,-398,yes
4337,40,management,married,tertiary,no,416,yes
4338,53,technician,married,unknown,no,9252,no
4339,49,self-employed,married,secondary,no,0,no
4340,54,management,married,tertiary,no,11563,yes
4341,36,management,married,secondary,no,1989,no
4342,60,management,married,tertiary,no,2281,no
4343,41,management,married,tertiary,no,223,yes
4344,53,technician,divorced,secondary,yes,-63,no
4345,37,management,married,tertiary,no,2283,no
4346,45,self-employed,married,secondary,no,1113,yes
4347,45,blue-collar,married,primary,no,2958,yes
4348,54,services,married,secondary,no,1301,yes
4349,58,admin.,married,secondary,no,169,no
4350,32,technician,single,secondary,no,-28,no
4351,48,blue-collar,married,primary,no,214,yes
4352,32,management,married,tertiary,no,4945,no
4353,38,blue-collar,married,secondary,no,0,no
4354,25,student,single,unknown,no,277,no
4355,37,blue-collar,single,secondary,no,5818,no
4356,40,technician,single,secondary,no,134,yes
4357,35,management,married,tertiary,no,0,yes
4358,46,management,married,tertiary,no,477,yes
4359,38,student,single,tertiary,no,3316,no
4360,46,blue-collar,married,secondary,no,425,yes
4361,44,management,married,tertiary,no,1788,no
4362,35,entrepreneur,married,secondary,no,313,yes
4363,38,unemployed,divorced,secondary,no,258,no
4364,35,blue-collar,married,primary,no,1383,yes
4365,38,student,married,secondary,no,140,no
4366,45,technician,married,secondary,no,351,yes
4367,45,management,divorced,tertiary,no,6542,yes
4368,39,blue-collar,single,secondary,no,175,no
4369,35,technician,married,secondary,no,294,yes
4370,58,technician,married,unknown,no,-509,no
4371,34,management,single,tertiary,no,1396,yes
4372,35,blue-collar,married,secondary,no,412,yes
4373,32,services,married,secondary,no,206,yes
4374,31,services,single,secondary,no,1987,yes
4375,60,retired,divorced,secondary,no,4243,no
4376,43,unknown,married,primary,no,2113,no
4377,29,management,single,tertiary,no,3357,no
4378,44,blue-collar,married,secondary,no,701,no
4379,44,entrepreneur,married,tertiary,no,121,no
4380,37,management,married,tertiary,no,900,yes
4381,30,technician,single,secondary,no,3,no
4382,62,retired,married,secondary,no,1495,no
4383,36,technician,single,secondary,yes,12,no
4384,25,student,single,secondary,no,203,no
4385,54,admin.,single,secondary,no,15,yes
4386,35,self-employed,single,primary,no,181,yes
4387,50,retired,married,primary,no,1098,no
4388,45,entrepreneur,married,tertiary,no,98,no
4389,36,blue-collar,married,primary,no,378,yes
4390,43,management,married,secondary,no,373,yes
4391,40,entrepreneur,married,secondary,no,0,yes
4392,41,blue-collar,married,primary,no,-692,yes
4393,52,management,married,tertiary,no,1227,no
4394,39,housemaid,married,secondary,no,1444,no
4395,37,blue-collar,single,secondary,no,111,yes
4396,30,self-employed,married,tertiary,no,2666,no
4397,59,blue-collar,married,primary,no,14,yes
4398,48,blue-collar,married,secondary,no,0,yes
4399,33,technician,married,secondary,no,804,no
4400,47,housemaid,married,secondary,no,3940,yes
4401,60,retired,married,tertiary,no,100,no
4402,53,entrepreneur,married,unknown,no,19850,no
4403,32,technician,single,tertiary,no,1094,yes
4404,36,blue-collar,married,secondary,no,55,yes
4405,52,services,divorced,primary,no,146,yes
4406,27,management,single,tertiary,no,406,no
4407,60,blue-collar,divorced,secondary,no,1310,no
4408,54,admin.,married,secondary,no,263,no
4409,50,management,married,tertiary,no,596,no
4410,41,housemaid,married,primary,no,39,no
4411,23,admin.,married,secondary,no,349,yes
4412,56,management,married,secondary,no,1560,yes
4413,42,management,married,tertiary,no,479,yes
4414,59,technician,married,secondary,no,0,yes
4415,33,technician,single,secondary,no,930,yes
4416,46,blue-collar,married,primary,no,494,yes
4417,57,technician,married,secondary,no,458,no
4418,40,admin.,single,secondary,no,-109,yes
4419,32,technician,married,secondary,no,791,yes
4420,34,technician,single,secondary,no,0,no
4421,45,self-employed,divorced,secondary,no,-139,yes
4422,34,management,married,tertiary,no,133,yes
4423,27,unemployed,single,secondary,no,11,no
4424,32,blue-collar,married,secondary,no,0,yes
4425,29,technician,married,primary,no,95,yes
4426,29,technician,single,tertiary,no,1669,no
4427,49,admin.,married,secondary,no,635,no
4428,57,technician,married,secondary,no,0,no
4429,39,management,married,tertiary,no,198,yes
4430,52,management,married,tertiary,no,2578,no
4431,35,services,married,tertiary,no,260,yes
4432,46,management,married,tertiary,no,-191,yes
4433,55,unemployed,married,secondary,no,12,no
4434,48,management,married,tertiary,no,0,no
4435,75,retired,married,primary,no,2970,no
4436,42,housemaid,married,primary,no,1,yes
4437,36,management,single,tertiary,no,515,yes
4438,40,blue-collar,married,secondary,no,755,no
4439,79,retired,divorced,primary,no,20,no
4440,47,technician,married,secondary,no,89,no
4441,51,blue-collar,married,secondary,no,1329,yes
4442,57,management,single,tertiary,no,33,yes
4443,37,technician,married,secondary,no,0,yes
4444,49,blue-collar,married,primary,no,902,no
4445,48,blue-collar,married,secondary,no,1405,yes
4446,56,self-employed,married,tertiary,no,871,yes
4447,29,technician,single,secondary,no,1856,yes
4448,41,blue-collar,married,unknown,no,402,yes
4449,54,blue-collar,married,primary,no,532,no
4450,42,blue-collar,married,secondary,no,1297,yes
4451,47,blue-collar,married,primary,no,185,no
4452,35,technician,married,secondary,no,0,yes
4453,36,technician,married,secondary,no,494,yes
4454,80,retired,married,tertiary,no,3669,no
4455,40,management,married,secondary,no,4025,yes
4456,31,blue-collar,married,secondary,no,2577,yes
4457,55,blue-collar,married,secondary,no,5874,no
4458,53,entrepreneur,married,unknown,no,7,no
4459,33,management,single,tertiary,no,-144,no
4460,42,management,married,tertiary,no,9916,yes
4461,59,housemaid,divorced,secondary,no,122,no
4462,50,services,married,secondary,no,-197,yes
4463,33,blue-collar,single,primary,no,60,yes
4464,28,management,single,tertiary,no,6784,no
4465,30,services,married,secondary,no,44,yes
4466,52,services,divorced,primary,no,130,yes
4467,44,blue-collar,married,primary,no,401,yes
