id,loan,contact,day,month,duration,campaign,previous,y
7325,no,sending _document,15,may,378.9989024,12,0,1
7326,yes,sending _document,28,may,460.7776833,2,0,0
7327,no,cellular,31,jul,432.6135039,2,0,1
7328,no,cellular,7,oct,337.3531727,2,0,1
7329,no,cellular,25,jul,,1,0,0
7330,no,cellular,21,nov,264.1926527,4,0,0
7331,no,telephone,18,jun,,10,0,0
7332,yes,cellular,16,apr,477.394346,1,0,0
7333,no,cellular,30,jan,397.0328304,4,2,0
7334,no,sending _document,15,may,335.7453085,4,0,0
7335,yes,sending _document,4,jul,273.2889463,2,0,0
7336,no,cellular,30,jan,,1,0,0
7337,no,sending _document,6,jun,,1,0,0
7338,no,telephone,30,jan,421.6860491,3,7,1
7339,no,cellular,21,nov,275.9534325,1,0,0
7340,no,cellular,17,apr,367.1658768,1,1,0
7341,yes,sending _document,6,jun,368.9805403,2,0,1
7342,no,cellular,16,mar,,1,4,0
7343,no,cellular,18,mar,244.2831238,1,3,0
7344,no,sending _document,29,may,403.6094385,3,0,1
7345,no,cellular,16,jul,281.5968769,1,0,0
7346,no,cellular,28,aug,249.123317,7,0,0
7347,no,sending _document,20,jun,401.1093919,3,0,1
7348,yes,telephone,15,jul,300.0649568,3,0,0
7349,no,cellular,16,apr,378.0303169,1,1,0
7350,yes,cellular,10,jul,232.8755771,3,0,0
7351,no,cellular,10,feb,257.7645858,1,13,0
7352,no,cellular,17,jul,310.5360127,3,0,1
7353,no,cellular,19,aug,,1,0,0
7354,no,telephone,8,jul,291.3168424,1,0,0
7355,no,cellular,4,feb,336.5218253,4,1,0
7356,no,sending _document,19,may,404.1852408,1,0,0
7357,no,cellular,13,aug,,8,0,0
7358,no,cellular,25,aug,226.1445639,3,0,0
7359,no,cellular,30,jul,306.4838485,6,0,1
7360,no,cellular,7,sep,306.4420338,2,0,0
7361,no,cellular,23,jul,169.4947243,2,0,0
7362,no,cellular,21,jul,340.7379144,2,0,1
7363,yes,cellular,11,may,416.373849,2,1,0
7364,no,sending _document,6,jun,274.7121438,3,0,1
7365,no,cellular,11,may,,2,4,0
7366,no,cellular,31,jul,,4,0,0
7367,no,sending _document,5,may,397.5482818,1,0,0
7368,no,cellular,15,jun,338.2520872,1,0,1
7369,no,cellular,2,feb,331.4048902,1,0,1
7370,no,cellular,22,oct,303.3619569,1,1,0
7371,no,cellular,2,sep,,1,2,0
7372,no,cellular,4,may,379.2500184,1,5,0
7373,no,cellular,11,may,353.793015,1,5,0
7374,no,cellular,13,aug,277.7725887,2,0,0
7375,no,cellular,9,jul,286.8369556,1,0,0
7376,no,cellular,9,jul,,1,0,1
7377,no,sending _document,30,may,314.892166,1,0,0
7378,no,cellular,6,may,,5,3,1
7379,yes,cellular,17,nov,485.7869046,2,0,1
7380,no,cellular,8,aug,243.7540975,3,0,1
7381,no,cellular,8,jun,240.976333,2,0,0
7382,no,telephone,13,may,305.2151778,2,4,0
7383,no,cellular,4,sep,,1,0,0
7384,no,sending _document,12,may,341.2671658,2,0,0
7385,no,cellular,21,aug,,2,0,0
7386,yes,cellular,8,jul,375.128595,1,0,0
7387,yes,cellular,21,nov,408.5490286,2,0,0
7388,no,cellular,19,jun,91.86120827,5,2,0
7389,no,cellular,31,jul,218.1966811,7,0,0
7390,no,cellular,15,may,332.2758745,2,0,0
7391,no,sending _document,28,may,346.559488,2,0,0
7392,no,cellular,24,jul,259.2597363,2,0,0
7393,no,telephone,28,aug,347.6053982,24,0,1
7394,yes,cellular,9,jul,278.1873369,3,0,0
7395,no,cellular,16,jul,195.5807794,1,0,0
7396,no,cellular,10,dec,430.3521979,1,0,0
7397,no,sending _document,13,may,336.9185713,7,0,0
7398,no,cellular,21,nov,,1,0,0
7399,no,sending _document,6,may,364.5608409,5,0,0
7400,no,sending _document,21,may,320.184324,1,0,0
7401,no,cellular,11,feb,204.4271599,1,1,1
7402,no,cellular,13,aug,,6,0,0
7403,no,cellular,13,may,370.9624485,2,0,1
7404,yes,sending _document,23,may,411.1315017,1,0,0
7405,no,cellular,7,may,344.9891224,2,0,0
7406,no,sending _document,14,may,268.0810513,7,0,1
7407,no,sending _document,18,jun,,1,0,0
7408,yes,cellular,8,jul,,4,0,1
7409,no,sending _document,9,jun,220.6119099,2,0,0
7410,no,sending _document,6,nov,,1,0,0
7411,no,cellular,8,jul,,4,0,0
7412,no,cellular,7,may,261.7903031,2,0,0
7413,no,cellular,16,jul,256.0286164,2,0,0
7414,no,sending _document,3,jun,397.1435745,6,0,1
7415,yes,cellular,23,jul,340.2668539,3,0,0
7416,no,cellular,13,may,303.4797884,2,0,0
7417,yes,sending _document,26,may,381.7567102,1,0,0
7418,no,cellular,4,feb,331.9447881,2,0,0
7419,no,cellular,20,nov,,1,0,0
7420,no,cellular,9,sep,228.1771084,1,5,0
7421,no,sending _document,27,may,238.9852081,3,0,1
7422,no,cellular,2,feb,307.0032998,1,0,0
7423,no,cellular,7,apr,320.692631,3,0,1
7424,no,cellular,9,jul,400.2274918,1,0,0
7425,no,cellular,3,feb,,2,0,0
7426,no,cellular,22,jul,240.5616847,2,0,0
7427,no,cellular,25,aug,,4,0,0
7428,no,sending _document,16,jun,287.1723803,1,0,1
7429,no,cellular,17,nov,270.6413617,1,0,0
7430,no,cellular,23,mar,,1,0,0
7431,no,cellular,30,apr,,1,1,0
7432,no,cellular,21,aug,,4,0,0
7433,no,cellular,24,feb,,2,10,0
7434,yes,telephone,19,nov,217.8199161,1,0,0
7435,no,cellular,30,jul,230.1064022,4,0,1
7436,no,cellular,28,aug,,10,0,0
7437,no,cellular,5,may,338.0953459,1,0,0
7438,no,cellular,29,aug,,2,0,0
7439,no,telephone,18,may,377.6992254,5,0,0
7440,no,cellular,12,may,301.2786162,2,3,0
7441,no,sending _document,24,jun,398.9665179,3,0,1
7442,no,cellular,23,jul,304.2102201,5,0,0
7443,no,cellular,8,jul,242.2584309,1,0,0
7444,no,cellular,5,feb,,1,3,0
7445,no,cellular,16,apr,355.5975146,1,0,0
7446,no,cellular,28,jan,222.497132,2,0,0
7447,no,cellular,2,feb,336.6489006,1,1,0
7448,no,sending _document,20,jun,202.4455879,3,0,1
7449,no,sending _document,23,may,260.2616064,2,0,0
7450,no,cellular,21,jul,,2,0,0
7451,no,sending _document,11,jun,,2,0,0
7452,no,telephone,2,nov,303.0437215,5,2,0
7453,no,sending _document,26,may,302.1331042,2,0,0
7454,no,sending _document,3,jun,284.386247,1,0,0
7455,yes,cellular,15,may,406.3634187,4,0,0
7456,no,cellular,20,nov,347.5459825,2,0,0
7457,no,cellular,14,aug,311.5222475,5,0,0
7458,no,cellular,14,may,322.3283806,2,2,0
7459,yes,cellular,16,jul,409.8020017,9,0,1
7460,yes,cellular,18,may,393.103942,1,0,0
7461,no,cellular,18,jul,307.4934917,2,0,0
7462,no,sending _document,16,may,410.6595354,7,0,1
7463,no,cellular,29,oct,,2,2,0
7464,no,sending _document,6,may,302.0418353,1,0,0
7465,no,cellular,13,aug,,2,0,0
7466,no,cellular,5,aug,335.8270901,3,0,1
7467,no,telephone,12,may,172.268342,4,0,0
7468,no,sending _document,20,jun,,3,0,0
7469,no,cellular,22,aug,,2,0,0
7470,no,cellular,13,nov,265.5862265,1,1,1
7471,no,cellular,28,aug,,1,0,0
7472,no,cellular,12,aug,,2,0,0
7473,no,telephone,14,may,256.953553,7,0,0
7474,no,cellular,25,jan,,1,3,0
7475,no,cellular,11,aug,270.923776,2,0,0
7476,no,sending _document,20,jul,,1,0,0
7477,yes,cellular,8,jul,354.9957637,1,0,0
7478,yes,sending _document,30,jun,302.2153506,3,0,0
7479,no,cellular,13,may,342.1883928,3,2,0
7480,no,sending _document,21,may,358.1317906,2,0,0
7481,yes,telephone,11,may,524.0781584,2,1,0
7482,yes,telephone,17,nov,411.8774278,1,0,1
7483,yes,cellular,13,may,273.8446056,1,0,0
7484,no,cellular,6,may,432.8654739,1,8,0
7485,no,cellular,14,may,368.3432611,1,0,0
7486,no,cellular,2,jun,,1,0,0
7487,no,cellular,25,aug,244.7771311,13,0,0
7488,no,cellular,17,apr,,1,1,0
7489,no,cellular,5,may,414.6467698,3,1,1
7490,no,sending _document,11,jun,,4,0,0
7491,no,cellular,15,jul,,4,0,1
7492,no,cellular,6,aug,270.8948947,2,0,0
7493,yes,cellular,8,jul,261.3719183,4,0,0
7494,no,sending _document,28,may,310.849079,1,0,0
7495,no,cellular,17,nov,,2,0,1
7496,no,cellular,26,aug,,8,0,0
7497,no,cellular,14,may,236.6435773,2,3,0
7498,no,sending _document,16,jun,232.6745962,3,0,1
7499,no,sending _document,14,may,324.8512452,1,0,0
7500,no,cellular,21,nov,261.1205309,2,0,0
7501,no,cellular,28,aug,223.8663476,10,0,1
7502,no,cellular,14,aug,230.0821091,2,0,1
7503,yes,telephone,18,may,470.7094599,7,1,1
7504,no,sending _document,16,may,393.1885488,2,0,1
7505,no,cellular,4,aug,,1,0,0
7506,no,cellular,9,dec,,1,1,0
7507,no,cellular,6,aug,178.1058908,4,0,0
7508,no,sending _document,20,may,303.0731407,2,0,0
7509,no,sending _document,14,may,378.922738,2,0,0
7510,yes,cellular,28,jan,227.3263777,1,0,0
7511,yes,cellular,5,feb,434.6259015,2,0,0
7512,no,cellular,5,aug,,2,0,0
7513,no,cellular,14,may,265.3235671,1,3,0
7514,no,sending _document,2,jun,288.7213933,4,0,0
7515,yes,cellular,20,nov,278.6411551,1,0,0
7516,no,cellular,12,nov,,1,8,0
7517,no,sending _document,4,jun,330.8850546,1,0,0
7518,no,sending _document,28,may,283.7877941,1,0,0
7519,no,sending _document,17,jun,327.9589829,4,0,0
7520,no,cellular,21,nov,340.8300458,4,0,1
7521,no,sending _document,6,may,338.3353462,2,0,0
7522,yes,sending _document,16,may,438.8261557,2,0,1
7523,yes,cellular,7,jul,255.5986492,1,0,0
7524,no,cellular,4,sep,460.8345181,3,0,1
7525,no,sending _document,16,may,241.2374975,4,0,1
7526,no,cellular,18,aug,,12,0,0
7527,yes,cellular,1,apr,502.7374343,1,2,0
7528,no,sending _document,21,may,248.7677151,2,0,0
7529,yes,sending _document,23,may,445.8606668,1,0,0
7530,no,cellular,11,aug,295.5151049,2,0,0
7531,no,sending _document,6,may,309.6350737,1,0,0
7532,no,cellular,24,may,280.9990713,2,3,1
7533,no,cellular,6,may,239.8400394,1,0,0
7534,no,cellular,7,aug,175.8589539,1,4,0
7535,yes,cellular,25,jul,,1,0,0
7536,no,cellular,28,jan,,1,0,0
7537,no,cellular,18,nov,315.5130403,1,2,0
7538,no,sending _document,16,may,280.0034956,4,0,0
7539,no,cellular,21,nov,228.8510763,3,3,0
7540,no,sending _document,29,may,259.12959,3,0,1
7541,no,cellular,17,nov,271.2646216,3,1,0
7542,no,cellular,11,aug,332.6807631,1,4,1
7543,no,cellular,20,aug,,2,0,0
7544,no,sending _document,28,may,408.5129407,24,0,1
7545,no,sending _document,23,may,353.3407914,14,0,1
7546,no,cellular,2,feb,227.2584475,1,2,0
7547,no,sending _document,19,jun,,1,0,0
7548,no,cellular,21,aug,228.0168571,2,0,0
7549,no,telephone,15,may,276.1124177,3,1,0
7550,no,cellular,13,may,255.4712097,1,1,0
7551,no,sending _document,16,may,,2,0,0
7552,no,sending _document,15,may,408.9899136,2,0,1
7553,no,cellular,18,nov,314.7744645,1,0,0
7554,yes,cellular,7,aug,486.3628438,2,0,0
7555,yes,telephone,9,jul,366.6079899,1,0,0
7556,no,cellular,12,may,245.900098,1,0,0
7557,no,sending _document,20,may,360.8837754,1,0,1
7558,no,cellular,14,may,360.7627435,2,0,0
7559,no,cellular,26,may,,2,1,0
7560,no,cellular,3,sep,,1,0,0
7561,no,cellular,7,jul,,2,0,0
7562,no,cellular,12,aug,,2,0,0
7563,no,sending _document,9,jun,248.2727947,1,0,0
7564,no,cellular,13,aug,317.1000443,2,0,0
7565,no,cellular,22,jun,344.4202521,1,2,1
7566,no,cellular,20,nov,257.0340863,2,0,0
7567,no,sending _document,26,may,452.4346538,3,0,1
7568,no,sending _document,16,may,344.2394075,4,0,1
7569,no,cellular,20,aug,201.4627357,3,0,1
7570,no,sending _document,13,may,225.1115807,2,0,1
7571,no,sending _document,29,may,329.0268219,1,0,1
7572,no,cellular,19,apr,152.3797215,2,0,1
7573,no,cellular,20,aug,255.677693,2,0,0
7574,no,cellular,29,jul,95.0727534,4,0,0
7575,no,cellular,14,may,398.0210686,4,3,1
7576,no,cellular,21,nov,,1,0,0
7577,no,cellular,20,nov,254.2251502,4,0,1
7578,no,cellular,7,aug,,5,0,0
7579,no,telephone,10,jul,393.1144445,1,0,1
7580,no,cellular,14,jul,321.2119977,3,0,1
7581,no,sending _document,9,may,314.4009684,3,0,0
7582,no,sending _document,27,may,409.5808925,1,0,1
7583,no,cellular,13,nov,251.4612196,1,0,0
7584,no,sending _document,27,may,279.8738705,1,0,0
7585,no,sending _document,20,jun,,1,0,0
7586,no,cellular,14,jul,359.709736,2,0,1
7587,no,cellular,8,may,255.6103369,4,3,0
7588,yes,sending _document,21,may,393.2084321,1,0,1
7589,yes,cellular,23,jul,236.6248291,3,0,0
7590,no,cellular,18,jul,310.0736057,2,0,0
7591,no,sending _document,30,may,386.9009482,3,0,1
7592,yes,sending _document,26,may,394.8795487,5,0,0
7593,no,cellular,25,oct,334.4776799,2,12,1
7594,no,cellular,6,apr,319.6872994,1,0,0
7595,yes,cellular,17,nov,419.3962366,2,1,0
7596,no,sending _document,21,may,288.2679846,3,0,0
7597,no,cellular,16,jul,133.8742601,2,0,0
7598,no,cellular,14,jul,428.408272,2,0,0
7599,no,sending _document,29,may,297.3664236,1,0,0
7600,no,cellular,18,may,362.8255954,1,0,1
7601,no,cellular,27,aug,,4,0,0
7602,no,cellular,17,nov,,1,0,0
7603,no,cellular,22,jul,257.1602132,3,0,0
7604,no,cellular,10,aug,,1,7,0
7605,no,cellular,7,jul,,2,0,0
7606,no,sending _document,6,may,341.5617264,2,0,0
7607,yes,cellular,8,aug,534.4144846,4,0,1
7608,no,cellular,1,jul,262.8885387,1,0,0
7609,yes,cellular,23,jul,435.104297,1,0,1
7610,no,sending _document,29,may,376.0145869,4,0,1
7611,no,cellular,2,feb,265.0597791,2,4,0
7612,no,cellular,12,aug,69.10458706,1,1,0
7613,yes,sending _document,12,may,357.1778393,1,0,0
7614,yes,sending _document,3,jul,371.1371184,1,0,0
7615,no,sending _document,13,may,402.5529548,1,0,1
7616,no,cellular,30,jul,255.6075885,9,0,0
7617,no,sending _document,17,jun,,3,0,0
7618,no,telephone,16,apr,200.2981212,2,0,0
7619,no,cellular,25,aug,229.4717847,4,0,1
7620,no,cellular,7,may,313.0494503,3,0,1
7621,no,cellular,9,feb,,5,0,0
7622,no,cellular,11,may,187.8266281,3,0,0
7623,no,cellular,22,apr,214.2034696,7,0,0
7624,no,sending _document,4,jun,257.1672998,1,0,0
7625,no,sending _document,29,may,320.8091044,1,0,1
7626,no,telephone,20,nov,211.7428409,3,0,1
7627,no,cellular,13,aug,186.0272165,6,0,1
7628,no,cellular,7,jul,245.6032812,2,0,0
7629,no,cellular,4,may,369.1104204,2,0,0
7630,yes,cellular,12,apr,330.9508791,1,6,0
7631,no,sending _document,9,jun,187.7563869,1,0,1
7632,no,cellular,29,jan,246.160171,1,0,0
7633,no,sending _document,27,may,372.3105001,1,0,0
7634,yes,cellular,8,jul,,1,0,1
7635,no,cellular,24,feb,,1,6,0
7636,no,sending _document,30,may,351.9997383,1,0,1
7637,no,sending _document,14,may,333.9108457,2,0,1
7638,no,telephone,7,oct,289.3767939,4,0,0
7639,yes,cellular,10,aug,385.3854318,1,4,1
7640,no,cellular,6,aug,339.6314956,3,0,0
7641,no,cellular,17,apr,,2,3,0
7642,no,sending _document,21,may,355.73916,1,0,1
7643,no,cellular,12,oct,305.1473388,1,1,0
7644,no,cellular,5,aug,337.1147175,2,0,1
7645,no,cellular,17,apr,338.7037603,1,1,0
7646,yes,sending _document,6,jun,409.982613,2,0,0
7647,no,cellular,18,may,236.9471208,2,0,0
7648,no,sending _document,4,jul,206.4528566,1,0,1
7649,no,cellular,6,feb,342.6234608,2,0,0
7650,no,telephone,3,feb,,6,0,0
7651,no,cellular,13,may,258.8341806,1,0,0
7652,no,sending _document,12,may,280.350134,1,0,0
7653,no,cellular,21,nov,336.3833728,1,2,0
7654,no,telephone,31,jul,289.785775,4,0,0
7655,no,sending _document,15,may,388.0577911,2,0,1
7656,no,cellular,2,feb,350.9774819,1,0,0
7657,no,cellular,14,jul,,6,0,1
7658,no,cellular,8,may,398.3619463,1,4,1
7659,no,cellular,24,jul,462.8291567,2,0,1
7660,no,cellular,25,aug,,4,0,0
7661,no,cellular,3,feb,323.851362,1,0,1
7662,no,sending _document,20,jun,328.5878724,3,0,1
7663,no,cellular,20,apr,314.6996967,1,1,0
7664,no,cellular,20,apr,308.386174,3,0,1
7665,no,sending _document,18,jun,225.2823325,1,0,1
7666,no,cellular,5,may,297.5722447,1,0,0
7667,no,sending _document,28,may,272.9681535,2,0,0
7668,yes,cellular,21,nov,449.861349,2,1,0
7669,no,cellular,2,feb,,3,0,0
7670,no,sending _document,21,may,347.4618009,1,0,1
7671,no,sending _document,5,jun,,2,0,0
7672,no,cellular,4,may,,2,3,0
7673,no,sending _document,12,may,353.7974915,2,0,1
7674,no,cellular,14,apr,299.3204322,2,0,0
7675,no,telephone,4,feb,,1,0,0
7676,no,sending _document,20,may,386.9287599,10,0,1
7677,no,cellular,19,aug,,3,0,0
7678,no,cellular,18,may,251.1707761,1,0,0
7679,yes,cellular,21,nov,442.9155434,6,0,0
7680,no,cellular,29,aug,346.1343231,6,0,1
7681,no,telephone,5,feb,267.940222,4,12,0
7682,yes,sending _document,25,aug,399.9606744,1,0,1
7683,no,sending _document,9,nov,147.8108657,1,0,0
7684,no,cellular,18,may,277.2302415,2,0,0
7685,no,cellular,17,nov,307.3854814,1,1,0
7686,no,cellular,12,may,,3,0,1
7687,no,sending _document,14,may,333.1509952,1,0,1
7688,no,cellular,11,aug,239.85457,4,0,1
7689,no,sending _document,17,may,224.5342901,1,0,0
7690,no,cellular,29,jan,289.762256,4,0,1
7691,no,cellular,17,nov,275.7251985,1,0,0
7692,no,cellular,19,nov,394.4998545,1,4,0
7693,no,cellular,13,may,,1,0,0
7694,no,telephone,31,jul,238.8257379,20,0,0
7695,no,cellular,28,aug,270.3991401,10,0,1
7696,yes,cellular,31,jul,308.425302,21,0,1
7697,no,telephone,26,jan,370.2168871,1,2,1
7698,no,sending _document,16,jun,301.4426264,3,0,1
7699,no,cellular,2,sep,,2,2,0
7700,no,sending _document,30,may,313.5037593,2,0,0
7701,no,cellular,19,aug,,4,0,0
7702,no,sending _document,2,jun,401.9664385,2,0,1
7703,no,cellular,20,nov,255.5621744,1,0,0
7704,no,cellular,17,jul,252.1555291,7,0,0
7705,no,cellular,30,jul,,9,0,0
7706,no,cellular,13,may,276.3589318,1,0,0
7707,no,sending _document,19,jun,270.574715,13,0,0
7708,no,cellular,19,aug,303.8763277,7,0,0
7709,no,cellular,12,aug,,1,0,0
7710,no,sending _document,6,jun,314.724696,2,0,1
7711,no,cellular,29,jul,263.013485,3,0,0
7712,yes,sending _document,23,may,374.0897641,1,0,1
7713,no,sending _document,16,jun,,8,0,0
7714,no,cellular,19,nov,331.5155789,1,0,0
7715,no,telephone,20,apr,125.1731751,1,0,0
7716,no,sending _document,20,jun,214.0975416,3,0,0
7717,no,cellular,7,aug,,1,1,0
7718,no,telephone,3,mar,257.1187484,1,0,0
7719,no,sending _document,18,jun,257.0485164,3,0,0
7720,no,cellular,6,may,335.608916,3,0,0
7721,yes,cellular,29,jan,198.1183678,1,0,0
7722,no,cellular,12,may,,4,0,1
7723,no,cellular,12,feb,,1,0,0
7724,no,cellular,6,aug,362.9252986,3,0,0
7725,no,cellular,7,may,386.2068998,2,0,1
7726,no,cellular,28,may,229.8146605,3,1,0
7727,no,sending _document,30,may,307.463427,2,0,0
7728,yes,cellular,17,apr,520.9788024,1,0,1
7729,no,cellular,2,feb,311.7061359,2,0,0
7730,no,cellular,28,jul,225.3561374,6,0,0
7731,no,cellular,18,may,343.4725504,1,0,0
7732,no,cellular,25,aug,441.1209,4,7,1
7733,no,telephone,15,oct,,1,0,1
7734,no,cellular,16,apr,385.1636559,2,2,1
7735,no,sending _document,28,may,303.5830143,1,0,1
7736,no,cellular,16,apr,317.2398685,1,0,0
7737,no,sending _document,2,jun,,3,0,1
7738,no,cellular,18,may,260.0765631,10,0,0
7739,yes,cellular,15,apr,,1,3,1
7740,no,cellular,25,jul,236.9672566,1,0,0
7741,yes,sending _document,7,may,435.4838684,3,0,1
7742,no,sending _document,20,jun,281.5239858,3,0,1
7743,no,cellular,17,nov,228.2107365,2,0,0
7744,no,cellular,7,may,409.4183848,1,0,0
7745,no,cellular,6,may,,3,0,0
7746,yes,cellular,5,feb,251.0150551,2,1,0
7747,no,sending _document,12,may,331.3707038,1,0,1
7748,no,cellular,17,apr,369.2004734,4,2,1
7749,no,sending _document,21,may,308.5955508,1,0,0
7750,no,cellular,24,jul,386.8631693,6,0,1
7751,no,sending _document,5,jun,310.7909185,11,0,0
7752,no,cellular,12,aug,,4,0,0
7753,no,cellular,10,jul,343.7101731,1,0,0
7754,no,sending _document,3,jul,226.718227,1,0,0
7755,no,cellular,15,may,311.1309311,3,4,1
7756,no,cellular,11,aug,,1,0,0
7757,no,cellular,31,mar,350.8777906,4,0,0
7758,no,sending _document,19,jun,251.7030295,1,0,0
7759,no,sending _document,20,jun,235.1221916,4,0,1
7760,yes,cellular,7,jul,521.5630691,1,0,0
7761,no,cellular,4,may,,3,0,0
7762,no,cellular,17,feb,119.8218621,2,0,0
7763,no,sending _document,28,may,441.1469659,1,0,1
7764,no,cellular,10,jul,260.9801358,1,0,0
7765,no,cellular,18,nov,,1,0,0
7766,no,cellular,10,feb,262.4214293,2,2,0
7767,no,telephone,22,jul,,3,0,0
7768,no,cellular,28,jan,,1,0,0
7769,no,sending _document,3,jun,357.4565594,1,0,0
7770,no,sending _document,4,jul,293.1913604,1,0,0
7771,no,cellular,20,nov,289.3021137,2,0,0
7772,no,cellular,26,aug,,5,0,0
7773,no,cellular,14,aug,220.7339747,2,0,0
7774,no,cellular,12,aug,,2,1,0
7775,yes,cellular,29,aug,356.4535367,3,0,0
7776,no,cellular,30,apr,,10,0,0
7777,no,cellular,6,may,,1,0,0
7778,no,cellular,18,jul,421.970042,3,0,1
7779,no,cellular,13,may,209.8066243,3,1,1
7780,yes,cellular,20,nov,,1,2,1
7781,no,cellular,25,aug,196.2519543,4,0,1
7782,no,cellular,17,nov,319.2751863,2,0,0
7783,yes,cellular,11,may,355.7714316,2,2,0
7784,no,cellular,12,may,162.4039647,1,0,0
7785,no,cellular,12,aug,347.6899144,2,0,0
7786,no,sending _document,12,may,272.9383588,7,0,0
7787,no,cellular,7,jul,312.2034122,4,0,1
7788,no,cellular,4,feb,345.0378828,2,0,0
7789,no,sending _document,20,jun,230.5835093,6,0,0
7790,no,sending _document,27,may,,1,0,1
7791,no,cellular,15,may,362.8206334,2,3,0
7792,no,cellular,23,jul,255.9890914,1,0,0
7793,no,cellular,2,feb,,3,5,0
7794,no,cellular,16,sep,320.3563859,2,3,0
7795,no,cellular,6,may,,1,0,0
7796,no,cellular,4,aug,344.8163329,2,0,1
7797,yes,cellular,23,jul,236.9177563,13,0,0
7798,yes,cellular,9,jul,312.8216258,1,0,0
7799,no,sending _document,11,jun,,1,0,0
7800,no,cellular,5,feb,245.6550635,1,0,0
7801,no,cellular,7,may,316.7687565,1,0,0
7802,no,sending _document,4,oct,,1,0,0
7803,no,sending _document,5,jun,341.1582229,1,0,1
7804,yes,cellular,8,jul,201.7230892,2,0,0
7805,no,sending _document,27,may,,2,0,0
7806,no,cellular,13,aug,,8,0,0
7807,no,sending _document,5,jun,,2,0,0
7808,no,cellular,10,jul,292.8155079,1,0,0
7809,no,cellular,25,aug,156.5312762,4,0,1
7810,no,sending _document,4,jun,256.109692,2,0,0
7811,no,cellular,8,may,362.0536511,1,0,0
7812,no,sending _document,16,may,213.7681839,2,0,0
7813,yes,cellular,20,nov,437.4611324,1,1,1
7814,no,cellular,17,apr,260.4942127,2,0,0
7815,no,cellular,22,jul,306.2730943,3,0,0
7816,no,telephone,12,aug,,1,0,0
7817,no,sending _document,30,may,327.0943694,2,0,1
7818,no,cellular,29,jan,,2,0,0
7819,no,cellular,25,jul,288.2674378,1,0,0
7820,yes,sending _document,29,may,477.5744729,4,0,1
7821,yes,cellular,30,jul,603.37333,2,0,1
7822,no,cellular,6,oct,299.5503801,1,0,0
7823,no,telephone,24,jul,362.5822492,6,0,1
7824,no,cellular,28,jan,238.3152689,2,5,0
7825,no,telephone,22,aug,214.4953907,7,0,0
7826,no,cellular,5,feb,364.6501912,6,0,1
7827,no,sending _document,14,may,469.1669267,3,0,1
7828,yes,cellular,6,feb,471.1235602,8,0,1
7829,no,cellular,9,feb,,1,0,0
7830,yes,cellular,8,jul,293.5129519,3,0,0
7831,yes,cellular,13,may,401.5926887,1,0,1
7832,yes,cellular,28,jul,308.1430472,2,0,0
7833,no,sending _document,4,jun,213.2544249,4,0,1
7834,no,cellular,28,jan,250.8300378,1,1,0
7835,no,cellular,4,may,182.9466784,1,0,1
7836,no,sending _document,21,may,,1,0,0
7837,no,sending _document,19,may,243.8684073,3,0,1
7838,yes,cellular,6,apr,552.7923804,1,15,1
7839,yes,sending _document,27,may,483.0498433,10,0,1
7840,no,cellular,21,nov,303.1113911,1,0,0
7841,no,cellular,4,feb,375.4830924,2,3,0
7842,yes,cellular,29,jan,408.1524263,1,1,0
7843,no,cellular,3,feb,281.8427188,2,0,0
7844,yes,sending _document,19,may,366.858758,2,0,0
7845,no,cellular,5,may,284.1999422,1,0,0
7846,no,cellular,18,feb,,1,2,0
7847,no,cellular,18,nov,296.3549675,1,1,0
7848,no,cellular,27,oct,241.9960306,3,3,1
7849,yes,cellular,9,jul,218.8986493,6,0,0
7850,no,cellular,4,feb,285.0175431,1,0,0
7851,no,cellular,28,jan,311.2565493,2,0,0
7852,no,sending _document,14,may,293.9240955,1,0,0
7853,no,sending _document,13,may,325.1382987,1,0,0
7854,yes,sending _document,26,may,,5,0,1
7855,yes,cellular,4,feb,289.6428726,2,3,0
7856,no,cellular,14,may,392.3469267,1,0,0
7857,no,sending _document,2,jun,245.1742987,3,0,0
7858,no,sending _document,8,may,337.4797606,2,0,0
7859,yes,cellular,27,aug,338.2352896,6,0,1
7860,no,cellular,11,may,415.2599927,2,1,1
7861,no,cellular,6,feb,,5,0,0
7862,no,cellular,6,may,,3,0,1
7863,no,cellular,8,may,,5,0,0
7864,no,sending _document,16,may,265.8415967,2,0,0
7865,no,telephone,13,apr,177.2771566,6,0,1
7866,no,sending _document,16,jun,275.3357763,2,0,0
7867,no,cellular,21,oct,298.6128231,2,2,0
7868,no,cellular,17,nov,319.7574675,5,3,1
7869,no,cellular,18,may,330.8546237,5,3,0
7870,no,cellular,5,may,330.2695019,1,9,1
7871,no,cellular,11,aug,265.9278419,6,0,1
7872,no,cellular,30,jul,242.1211968,2,0,0
7873,no,cellular,23,sep,,1,2,0
7874,no,cellular,20,apr,237.4856845,1,0,0
7875,yes,cellular,5,aug,250.4452903,1,0,0
7876,no,cellular,2,feb,,3,0,0
7877,no,cellular,21,nov,242.2454004,2,0,0
7878,no,cellular,14,may,390.2373095,2,4,1
7879,no,cellular,8,may,394.7632855,1,2,1
7880,no,sending _document,13,may,431.8380535,1,0,0
7881,no,cellular,4,feb,,1,0,1
7882,yes,cellular,18,jul,354.0089924,1,0,0
7883,no,telephone,4,may,153.7298146,3,0,1
7884,no,cellular,3,jun,,3,0,0
7885,no,telephone,8,may,386.6022668,2,3,0
