乗客ID,年齢,兄弟と配偶者,親と子供,チケット番号,運賃,客室番号,出港地
702,35,0,0,PC 17475,26.2875,E24,S
703,18,0,1,2691,14.4542,,C
704,25,0,0,36864,7.7417,,Q
705,26,1,0,350025,7.8542,,S
706,39,0,0,250655,26,,S
707,45,0,0,223596,13.5,,S
708,42,0,0,PC 17476,26.2875,E24,S
709,22,0,0,113781,151.55,,S
710,,1,1,2661,15.2458,,C
711,24,0,0,PC 17482,49.5042,C90,C
712,,0,0,113028,26.55,C124,S
713,48,1,0,19996,52,C126,S
714,29,0,0,7545,9.4833,,S
715,52,0,0,250647,13,,S
716,19,0,0,348124,7.65,F G73,S
717,38,0,0,PC 17757,227.525,C45,C
718,27,0,0,34218,10.5,E101,S
719,,0,0,36568,15.5,,Q
720,33,0,0,347062,7.775,,S
721,6,0,1,248727,33,,S
722,17,1,0,350048,7.0542,,S
723,34,0,0,12233,13,,S
724,50,0,0,250643,13,,S
725,27,1,0,113806,53.1,E8,S
726,20,0,0,315094,8.6625,,S
727,30,3,0,31027,21,,S
728,,0,0,36866,7.7375,,Q
729,25,1,0,236853,26,,S
730,25,1,0,STON/O2. 3101271,7.925,,S
731,29,0,0,24160,211.3375,B5,S
732,11,0,0,2699,18.7875,,C
733,,0,0,239855,0,,S
734,23,0,0,28425,13,,S
735,23,0,0,233639,13,,S
736,28.5,0,0,54636,16.1,,S
737,48,1,3,W./C. 6608,34.375,,S
738,35,0,0,PC 17755,512.3292,B101,C
739,,0,0,349201,7.8958,,S
740,,0,0,349218,7.8958,,S
741,,0,0,16988,30,D45,S
742,36,1,0,19877,78.85,C46,S
743,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C
744,24,1,0,376566,16.1,,S
745,31,0,0,STON/O 2. 3101288,7.925,,S
746,70,1,1,WE/P 5735,71,B22,S
747,16,1,1,C.A. 2673,20.25,,S
748,30,0,0,250648,13,,S
749,19,1,0,113773,53.1,D30,S
750,31,0,0,335097,7.75,,Q
751,4,1,1,29103,23,,S
752,6,0,1,392096,12.475,E121,S
753,33,0,0,345780,9.5,,S
754,23,0,0,349204,7.8958,,S
755,48,1,2,220845,65,,S
756,0.67,1,1,250649,14.5,,S
757,28,0,0,350042,7.7958,,S
758,18,0,0,29108,11.5,,S
759,34,0,0,363294,8.05,,S
760,33,0,0,110152,86.5,B77,S
761,,0,0,358585,14.5,,S
762,41,0,0,SOTON/O2 3101272,7.125,,S
763,20,0,0,2663,7.2292,,C
764,36,1,2,113760,120,B96 B98,S
765,16,0,0,347074,7.775,,S
766,51,1,0,13502,77.9583,D11,S
767,,0,0,112379,39.6,,C
768,30.5,0,0,364850,7.75,,Q
769,,1,0,371110,24.15,,Q
770,32,0,0,8471,8.3625,,S
771,24,0,0,345781,9.5,,S
772,48,0,0,350047,7.8542,,S
773,57,0,0,S.O./P.P. 3,10.5,E77,S
774,,0,0,2674,7.225,,C
775,54,1,3,29105,23,,S
776,18,0,0,347078,7.75,,S
777,,0,0,383121,7.75,F38,Q
778,5,0,0,364516,12.475,,S
779,,0,0,36865,7.7375,,Q
780,43,0,1,24160,211.3375,B3,S
781,13,0,0,2687,7.2292,,C
782,17,1,0,17474,57,B20,S
783,29,0,0,113501,30,D6,S
784,,1,2,W./C. 6607,23.45,,S
785,25,0,0,SOTON/O.Q. 3101312,7.05,,S
786,25,0,0,374887,7.25,,S
787,18,0,0,3101265,7.4958,,S
788,8,4,1,382652,29.125,,Q
789,1,1,2,C.A. 2315,20.575,,S
790,46,0,0,PC 17593,79.2,B82 B84,C
791,,0,0,12460,7.75,,Q
792,16,0,0,239865,26,,S
793,,8,2,CA. 2343,69.55,,S
794,,0,0,PC 17600,30.6958,,C
795,25,0,0,349203,7.8958,,S
796,39,0,0,28213,13,,S
797,49,0,0,17465,25.9292,D17,S
798,31,0,0,349244,8.6833,,S
799,30,0,0,2685,7.2292,,C
800,30,1,1,345773,24.15,,S
801,34,0,0,250647,13,,S
802,31,1,1,C.A. 31921,26.25,,S
803,11,1,2,113760,120,B96 B98,S
804,0.42,0,1,2625,8.5167,,C
805,27,0,0,347089,6.975,,S
806,31,0,0,347063,7.775,,S
807,39,0,0,112050,0,A36,S
808,18,0,0,347087,7.775,,S
809,39,0,0,248723,13,,S
810,33,1,0,113806,53.1,E8,S
811,26,0,0,3474,7.8875,,S
812,39,0,0,A/4 48871,24.15,,S
813,35,0,0,28206,10.5,,S
814,6,4,2,347082,31.275,,S
815,30.5,0,0,364499,8.05,,S
816,,0,0,112058,0,B102,S
817,23,0,0,STON/O2. 3101290,7.925,,S
818,31,1,1,S.C./PARIS 2079,37.0042,,C
819,43,0,0,C 7075,6.45,,S
820,10,3,2,347088,27.9,,S
821,52,1,1,12749,93.5,B69,S
822,27,0,0,315098,8.6625,,S
823,38,0,0,19972,0,,S
824,27,0,1,392096,12.475,E121,S
825,2,4,1,3101295,39.6875,,S
826,,0,0,368323,6.95,,Q
827,,0,0,1601,56.4958,,S
828,1,0,2,S.C./PARIS 2079,37.0042,,C
829,,0,0,367228,7.75,,Q
830,62,0,0,113572,80,B28,
831,15,1,0,2659,14.4542,,C
832,0.83,1,1,29106,18.75,,S
833,,0,0,2671,7.2292,,C
834,23,0,0,347468,7.8542,,S
835,18,0,0,2223,8.3,,S
836,39,1,1,PC 17756,83.1583,E49,C
837,21,0,0,315097,8.6625,,S
838,,0,0,392092,8.05,,S
839,32,0,0,1601,56.4958,,S
840,,0,0,11774,29.7,C47,C
841,20,0,0,SOTON/O2 3101287,7.925,,S
842,16,0,0,S.O./P.P. 3,10.5,,S
843,30,0,0,113798,31,,C
844,34.5,0,0,2683,6.4375,,C
845,17,0,0,315090,8.6625,,S
846,42,0,0,C.A. 5547,7.55,,S
847,,8,2,CA. 2343,69.55,,S
848,35,0,0,349213,7.8958,,C
849,28,0,1,248727,33,,S
850,,1,0,17453,89.1042,C92,C
851,4,4,2,347082,31.275,,S
852,74,0,0,347060,7.775,,S
853,9,1,1,2678,15.2458,,C
854,16,0,1,PC 17592,39.4,D28,S
855,44,1,0,244252,26,,S
856,18,0,1,392091,9.35,,S
857,45,1,1,36928,164.8667,,S
858,51,0,0,113055,26.55,E17,S
859,24,0,3,2666,19.2583,,C
860,,0,0,2629,7.2292,,C
861,41,2,0,350026,14.1083,,S
862,21,1,0,28134,11.5,,S
863,48,0,0,17466,25.9292,D17,S
864,,8,2,CA. 2343,69.55,,S
865,24,0,0,233866,13,,S
866,42,0,0,236852,13,,S
867,27,1,0,SC/PARIS 2149,13.8583,,C
868,31,0,0,PC 17590,50.4958,A24,S
869,,0,0,345777,9.5,,S
870,4,1,1,347742,11.1333,,S
871,26,0,0,349248,7.8958,,S
872,47,1,1,11751,52.5542,D35,S
873,33,0,0,695,5,B51 B53 B55,S
874,47,0,0,345765,9,,S
875,28,1,0,P/PP 3381,24,,C
876,15,0,0,2667,7.225,,C
877,20,0,0,7534,9.8458,,S
878,19,0,0,349212,7.8958,,S
879,,0,0,349217,7.8958,,S
880,56,0,1,11767,83.1583,C50,C
881,25,0,1,230433,26,,S
882,33,0,0,349257,7.8958,,S
883,22,0,0,7552,10.5167,,S
884,28,0,0,C.A./SOTON 34068,10.5,,S
885,25,0,0,SOTON/OQ 392076,7.05,,S
886,39,0,5,382652,29.125,,Q
887,27,0,0,211536,13,,S
888,19,0,0,112053,30,B42,S
889,,1,2,W./C. 6607,23.45,,S
890,26,0,0,111369,30,C148,C
891,32,0,0,370376,7.75,,Q
